type,uri,element,value
collectionobjects,/collectionobjects/04930368-ac32-4d62-ac81,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/42cf2bf6-1f07-440f-8564,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/32733c79-7320-4d4d-b6c1,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a72fe9c9-97e6-4b59-b566,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/902c48fd-3de6-4be2-8d18,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b7fb1259-48fd-4403-8366,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5b91d1d6-167d-44dd-8f67,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c7bed780-5b2d-49e6-9824,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/fd5e435e-064f-44ee-8ac6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/13d85e82-a331-4393-8a74,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b6600875-9bab-4ef7-ae81,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/edef214c-2291-468f-ba8d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/28599cad-8e80-49ef-9b82,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0db766ec-fd6b-482d-b08a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7cf12260-565b-4873-9816,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/28400382-e637-4bfd-914f,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/acc4ff17-f6b2-4742-a255,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c3a7c634-676e-4a8a-99c4,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/64b62397-ca01-481c-9db1,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/0fc93c84-c507-4f6d-a930,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2b0c5d02-19ad-441c-acb5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/c117e7d8-9ab5-4d28-9d78,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/dbc1f4be-06f4-4ca6-a5c7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/deafeb58-7c92-4938-a74e,responsibleDepartment,artcollection
